Recipient,Total,Party,Chamber
"Bennet, Michael",4000,Democrat,Senate
"Reid, Harry",14500,Democrat,Senate
"Halvorson, Deborah",1250,Democrat,House
"Burr, Richard",5500,Republican,Senate
"Baucus, Max",1250,Democrat,Senate
"Bingaman, Jeff",1000,Democrat,Senate
"Carnahan, Robin",500,Democrat,Senate
"Murkowski, Lisa",3500,Republican,Senate
"Grassley, Chuck",4000,Republican,Senate
"Foster, Bill",750,Democrat,House
"McNerney, Jerry",1500,Democrat,House
"Flake, Jeff",3000,Republican,House
"Whitfield, Ed",2000,Republican,House
"Feinstein, Dianne",4000,Democrat,Senate
"Brown, Sherrod",3000,Democrat,Senate
"Menendez, Robert",3000,Democrat,Senate
"Latta, Robert E",4000,Republican,House
"Kaptur, Marcy",7000,Democrat,House
"Gosar, Paul",2000,Republican,House
"Barber, Ron",3000,Democrat,House
"Camp, Dave",5000,Republican,House
"Heinrich, Martin",7500,Democrat,Senate
"McCaskill, Claire",1500,Democrat,Senate
"Murphy, Christopher S",1500,Democrat,House
"Donnelly, Joe",1500,Democrat,House
"Tester, Jon",2000,Democrat,Senate
"Duckworth, Tammy",1500,Democrat,House
"Risch, James E",1000,Republican,Senate
"Enyart, William",500,Democrat,House
"Shaheen, Jeanne",1500,Democrat,Senate
"Reichert, Dave",4000,Republican,House
"Baldwin, Tammy",1000,Democrat,House
"Kaine, Tim",1000,Democrat,Senate
"Lucas, Frank D",1000,Republican,House
"Heller, Dean",7000,Republican,Senate
"Garagiola, Robert J",500,Democrat,House
"Berkley, Shelley",1000,Democrat,House
"Stabenow, Debbie",1000,Democrat,Senate
"Bilbray, Brian P",1000,Republican,House
"Hatch, Orrin G",1000,Republican,Senate
"Nelson, Bill",1000,Democrat,Senate
"Johnson, Tim",1000,Democrat,Senate
"Waxman, Henry",750,Democrat,House
"Calvert, Ken",500,Republican,House
"Cardin, Ben",500,Democrat,Senate
"Bass, Charles",500,Republican,House
"Gardner, Cory",6000,Republican,Senate
"Gibson, Chris",500,Republican,House
"Frelinghuysen, Rodney",500,Republican,House
"Neal, Richard E",250,Democrat,House
"Portman, Rob",9000,Republican,Senate
"Landrieu, Mary L",6500,Democrat,Senate
"Udall, Mark",8192,Democrat,Senate
"Cornyn, John",2500,Republican,Senate
"Braley, Bruce",2000,Democrat,House
"Merkley, Jeff",2000,Democrat,Senate
"Heck, Joe",2000,Republican,House
"Amodei, Mark",1000,Republican,House
"Salmon, Matt",1000,Republican,House
"Alexander, Lamar",1000,Republican,Senate
"Cook, Paul",1000,Republican,House
"Collins, Susan M",1000,Republican,Senate
"Titus, Dina",1000,Democrat,House
"Coons, Chris",2000,Democrat,Senate
"Sinema, Kyrsten",3000,Democrat,House
"Poe, Ted",1000,Republican,House
"Durbin, Dick",3500,Democrat,Senate
"Begich, Mark",5000,Democrat,Senate
"Markey, Ed",5100,Democrat,Senate
"Hagan, Kay R",2500,Democrat,Senate
"Kirk, Mark",5000,Republican,Senate
"Peters, Gary",2500,Democrat,House
"Nunn, Michelle",2500,Democrat,Senate
"Wyden, Ron",6000,Democrat,Senate
"Grimes, Alison",500,Democrat,Senate
"Smith-Kearney, Vanessa Mcgee",200,Democrat,House
"Dandekar, Swati",2500,Democrat,House
"Deutch, Ted",2000,Democrat,House
"Schatz, Brian",1000,Democrat,Senate
"McCain, John",2000,Republican,Senate
"Masto, Catherine Cortez",3000,Democrat,Senate
"McGinty, Katie",6400,Democrat,Senate
"Dold, Bob",3500,Republican,House
"Schumer, Charles E",1000,Democrat,Senate
"Thune, John",1000,Republican,Senate
"Isakson, Johnny",500,Republican,Senate
"Pallone, Frank Jr",500,Democrat,House
"Moran, Jerry",500,Republican,Senate
"Reed, Tom",5000,Republican,House
"Meehan, Patrick",2560,Republican,House
"Hassan, Maggie",2500,Democrat,Senate
"Ayotte, Kelly",1000,Republican,Senate
"Takai, Mark",1000,Democrat,House
